,Document,Frequency
0,'001,331
1,'002,60
2,'003,48
3,'004,285
4,'005,136
5,'006,179
6,'007,60
7,'008,72
8,'009,51
9,'010,149
10,'011,59
11,'012,97
12,'013,105
13,'014,52
14,'015,73
15,'016,285
16,'017,50
17,'018,174
18,'019,67
19,'020,69
20,'021,57
21,'022,34
22,'023,150
23,'024,75
24,'025,47
25,'026,184
26,'027,68
27,'028,434
28,'029,78
29,'030,22
30,'031,24
31,'032,127
32,'033,45
33,'034,49
34,'035,45
35,'036,29
36,'037,72
37,'038,59
38,'039,75
39,'040,75
40,'041,85
41,'042,72
42,'043,66
43,'044,66
44,'045,251
45,'046,85
46,'047,129
47,'048,41
48,'049,72
49,'050,39
50,'051,81
51,'052,31
52,'053,27
53,'054,338
54,'055,127
55,'056,121
56,'057,72
57,'058,65
58,'059,171
59,'060,128
60,'061,190
61,'062,65
62,'063,68
63,'064,44
64,'065,53
65,'066,79
66,'067,42
67,'068,46
68,'069,81
69,'070,97
70,'071,28
71,'072,39
72,'073,33
73,'074,98
74,'075,61
75,'076,23
76,'077,23
77,'078,453
78,'079,69
79,'080,73
80,'081,76
81,'082,44
82,'083,80
83,'084,28
84,'085,26
85,'086,45
86,'087,55
87,'088,63
88,'089,44
89,'090,44
90,'091,58
91,'092,58
92,'093,73
93,'094,109
94,'095,172
95,'096,29
96,'097,289
97,'098,379
98,'099,76
99,'100,47
100,'101,65
101,'102,47
102,'103,65
103,'104,42
104,'105,77
105,'106,66
106,'107,213
107,'108,20
108,'109,84
109,'110,72
110,'111,152
111,'112,58
112,'113,41
113,'114,94
114,'115,72
115,'116,83
116,'117,70
117,'118,56
118,'119,40
119,'120,75
120,'121,57
121,'122,178
122,'123,474
123,'124,133
124,'125,65
125,'126,80
126,'127,75
127,'128,89
128,'129,85
129,'130,60
130,'131,113
131,'132,137
132,'133,312
133,'134,179
134,'135,214
135,'136,179
136,'137,39
137,'138,143
138,'139,101
139,'140,134
140,'141,61
141,'142,125
142,'143,51
143,'144,23
144,'145,68
145,'146,40
146,'147,89
147,'148,87
148,'149,70
149,'150,178
150,'151,77
151,'152,70
152,'153,114
153,'154,190
154,'155,149
155,'156,70
156,'157,99
157,'158,145
158,'159,57
159,'160,63
160,'161,36
161,'162,132
162,'163,66
163,'164,49
164,'165,78
165,'166,28
166,'167,59
167,'168,121
168,'169,64
169,'170,41
170,'171,60
171,'172,84
172,'173,45
173,'174,92
174,'175,56
175,'176,81
176,'177,59
177,'178,74
178,'179,36
179,'180,110
180,'181,27
181,'182,35
182,'183,53
183,'184,69
184,'185,69
185,'186,40
186,'187,26
187,'188,73
188,'189,29
189,'190,48
190,'191,67
191,'192,75
192,'193,82
193,'194,321
194,'195,235
195,'196,140
196,'197,192
197,'198,76
198,'199,46
199,'200,150
200,'201,246
201,'202,140
202,'203,66
203,'204,136
204,'205,76
205,'206,68
206,'207,405
207,'208,374
208,'209,121
209,'210,142
210,'211,68
211,'212,77
212,'213,37
213,'214,39
214,'215,74
215,'216,39
216,'217,96
217,'218,143
218,'219,64
219,'220,30
220,'221,101
221,'222,63
222,'223,87
223,'224,53
224,'225,36
225,'226,66
226,'227,260
227,'228,74
228,'229,117
229,'230,156
230,'231,55
231,'232,37
232,'233,79
233,'234,152
234,'235,243
235,'236,67
236,'237,26
237,'238,57
238,'239,153
239,'240,33
240,'241,46
241,'242,110
242,'243,95
243,'244,30
244,'245,50
245,'246,172
246,'247,78
247,'248,110
248,'249,118
249,'250,70
250,'251,50
251,'252,38
252,'253,29
253,'254,345
254,'255,251
255,'256,144
256,'257,85
257,'258,78
258,'259,146
259,'260,67
260,'261,368
261,'262,371
262,'263,70
263,'264,164
264,'265,468
265,'266,144
266,'267,125
267,'268,301
268,'269,218
269,'270,76
270,'271,43
271,'272,147
272,'273,57
273,'274,22
274,'275,81
275,'276,157
276,'277,202
277,'278,48
278,'279,73
279,'280,51
280,'281,74
281,'282,78
282,'283,46
283,'284,193
284,'285,59
285,'286,39
286,'287,52
287,'288,71
288,'289,39
289,'290,55
290,'291,27
291,'292,283
292,'293,140
293,'294,41
294,'295,63
295,'296,47
296,'297,69
297,'298,68
298,'299,52
299,'300,28
300,'301,68
301,'302,146
302,'303,95
303,'304,107
304,'305,312
305,'306,83
306,'307,77
307,'308,59
308,'309,68
309,'310,68
310,'311,75
311,'312,63
312,'313,60
313,'314,341
314,'315,62
315,'316,144
316,'317,73
317,'318,138
318,'319,61
319,'320,127
320,'321,29
321,'322,201
322,'323,86
323,'324,62
324,'325,110
325,'326,52
326,'327,46
327,'328,68
328,'329,78
329,'330,89
330,'331,19
331,'332,70
332,'333,121
333,'334,63
334,'335,54
335,'336,154
336,'337,28
337,'338,57
338,'339,77
339,'340,384
340,'341,45
341,'342,82
342,'343,145
343,'344,53
344,'345,41
345,'346,41
346,'347,58
347,'348,299
348,'349,128
349,'350,74
350,'351,73
351,'352,42
352,'353,62
353,'354,65
354,'355,109
355,'356,47
356,'357,64
357,'358,79
358,'359,80
359,'360,37
360,'361,42
361,'362,36
362,'363,50
363,'364,67
364,'365,57
365,'366,54
366,'367,70
367,'368,40
368,'369,30
369,'370,71
370,'371,76
371,'372,194
372,'373,66
373,'374,63
374,'375,127
375,'376,489
376,'377,178
377,'378,60
378,'379,202
379,'380,73
380,'381,62
381,'382,77
382,'383,274
383,'384,27
384,'385,76
385,'386,91
386,'387,76
387,'388,69
388,'389,92
389,'390,49
390,'391,70
391,'392,127
392,'393,59
393,'394,52
394,'395,107
395,'396,61
396,'397,102
397,'398,20
398,'399,328
399,'400,62
400,'401,55
401,'402,124
402,'403,47
403,'404,97
404,'405,137
405,'406,80
406,'407,47
407,'408,90
408,'409,134
409,'410,81
410,'411,27
411,'412,55
412,'413,32
413,'414,27
414,'415,57
415,'416,39
416,'417,69
417,'418,71
418,'419,121
419,'420,43
420,'421,93
421,'422,228
422,'423,58
423,'424,51
424,'425,230
425,'426,66
426,'427,34
427,'428,108
428,'429,29
429,'430,43
430,'431,134
431,'432,72
432,'433,200
433,'434,140
434,'435,122
435,'436,152
436,'437,220
437,'438,132
438,'439,155
439,'440,49
440,'441,202
441,'442,47
442,'443,31
443,'444,77
444,'445,315
445,'446,73
446,'447,104
447,'448,462
448,'449,76
449,'450,46
450,'451,327
451,'452,33
452,'453,77
453,'454,214
454,'455,44
455,'456,40
456,'457,141
457,'458,77
458,'459,126
459,'460,43
460,'461,55
461,'462,90
462,'463,393
463,'464,50
464,'465,119
465,'466,129
466,'467,63
467,'468,34
468,'469,123
469,'470,84
470,'471,72
471,'472,69
472,'473,50
473,'474,81
474,'475,120
475,'476,73
476,'477,38
477,'478,50
478,'479,41
479,'480,29
480,'481,29
481,'482,138
482,'483,102
483,'484,124
484,'485,54
485,'486,47
486,'487,82
487,'488,108
488,'489,60
489,'490,56
490,'491,82
491,'492,195
492,'493,210
493,'494,321
494,'495,263
495,'496,306
496,'497,267
497,'498,208
498,'499,67
499,'500,49
